类:Class,Java类
方法:Method,Java方法,函数
变量:Variable,Java变量,字段
接口:Interface,Java接口
继承:Inheritance,Java继承
多态:Polymorphism,Java多态
封装:Encapsulation,Java封装
构造函数:Constructor,Java构造函数
异常:Exception,Java异常
线程:Thread,Java线程
同步:Synchronization,Java同步
并发:Concurrency,Java并发
集合:Collection,Java集合
列表:List,Java列表
数组:Array,Java数组
映射:Map,Java映射
队列:Queue,Java队列
栈:Stack,Java栈
泛型:Generic,Java泛型
注解:Annotation,Java注解
反射:Reflection,Java反射
序列化:Serialization,Java序列化
反序列化:Deserialization,Java反序列化
设计模式:DesignPattern,Java设计模式
单例:Singleton,Java单例
工厂:Factory,Java工厂
代理:Proxy,Java代理
策略:Strategy,Java策略
观察者:Observer,Java观察者
迭代器:Iterator,Java迭代器
装饰器:Decorator,Java装饰器
适配器:Adapter,Java适配器
门面:Facade,Java门面
模板方法:TemplateMethod,Java模板方法
建造者:Builder,Java建造者
原型:Prototype,Java原型
状态:State,Java状态
责任链:ChainOfResponsibility,Java责任链
备忘录:Memento,Java备忘录
访问者:Visitor,Java访问者
中介者:Mediator,Java中介者
解释器:Interpreter,Java解释器
数据库:Database,Java数据库
SQL:SQL,JavaSQL
事务:Transaction,Java事务
连接池:ConnectionPool,Java连接池
ORM:ORM,JavaORM
框架:Framework,Java框架
Spring:Spring,JavaSpring
SpringBoot:SpringBoot,JavaSpringBoot
MyBatis:MyBatis,JavaMyBatis
Hibernate:Hibernate,JavaHibernate
Struts:Struts,JavaStruts
Servlet:Servlet,JavaServlet
JSP:JSP,JavaJSP
JavaEE:JavaEE,Java企业版
JavaSE:JavaSE,Java标准版
JavaME:JavaME,Java微型版
API:API,JavaAPI
JDK:JDK,Java开发工具包
JRE:JRE,Java运行时环境
JVM:JVM,Java虚拟机
字节码:Bytecode,Java字节码
编译器:Compiler,Java编译器
解释器:Interpreter,Java解释器
调试器:Debugger,Java调试器
单元测试:UnitTesting,Java单元测试
JUnit:JUnit,JavaJUnit
Mockito:Mockito,JavaMockito
测试驱动开发:TDD,JavaTDD
持续集成:CI,JavaCI
Jenkins:Jenkins,JavaJenkins
Maven:Maven,JavaMaven
Gradle:Gradle,JavaGradle
Ant:Ant,JavaAnt
依赖管理:DependencyManagement,Java依赖管理
构建工具:BuildTool,Java构建工具
代码质量:CodeQuality,Java代码质量
SonarQube:SonarQube,JavaSonarQube
代码审查:CodeReview,Java代码审查
重构:Refactoring,Java重构
性能优化:PerformanceOptimization,Java性能优化
内存泄漏:MemoryLeak,Java内存泄漏
垃圾回收:GarbageCollection,Java垃圾回收
堆:Heap,Java堆
栈:Stack,Java栈
堆外内存:OffHeapMemory,Java堆外内存
日志:Logging,Java日志
SLF4J:SLF4J,JavaSLF4J
Log4j:Log4j,JavaLog4j
日志框架:LoggingFramework,Java日志框架
配置:Configuration,Java配置
属性文件:PropertiesFile,Java属性文件
YAML:YAML,JavaYAML
JSON:JSON,JavaJSON
XML:XML,JavaXML
序列化框架:SerializationFramework,Java序列化框架
Jackson:Jackson,JavaJackson
Gson:Gson,JavaGson
Fastjson:Fastjson,JavaFastjson
网络编程:NetworkProgramming,Java网络编程
Socket:Socket,JavaSocket
NIO:NIO,JavaNIO
多线程网络编程:MultithreadedNetworkProgramming,Java多线程网络编程
异步编程:AsynchronousProgramming,Java异步编程
CompletableFuture:CompletableFuture,JavaCompletableFuture
响应式编程:ReactiveProgramming,Java响应式编程
Reactor:Reactor,JavaReactor
RxJava:RxJava,JavaRxJava
Web开发:WebDevelopment,JavaWeb开发
SpringMVC:SpringMVC,JavaSpringMVC
SpringWebFlux:SpringWebFlux,JavaSpringWebFlux
REST:REST,JavaREST
RESTful:RESTful,JavaRESTful
API网关:APIGateway,JavaAPI网关
SpringCloudGateway:SpringCloudGateway,JavaSpringCloudGateway
服务发现:ServiceDiscovery,Java服务发现
Eureka:Eureka,JavaEureka
Consul:Consul,JavaConsul
配置中心:ConfigCenter,Java配置中心
SpringCloudConfig:SpringCloudConfig,JavaSpringCloudConfig
断路器:CircuitBreaker,Java断路器
Hystrix:Hystrix,JavaHystrix
Resilience4j:Resilience4j,JavaResilience4j
消息队列:MessageQueue,Java消息队列
RabbitMQ:RabbitMQ,JavaRabbitMQ
Kafka:Kafka,JavaKafka
RocketMQ:RocketMQ,JavaRocketMQ
分布式事务:DistributedTransaction,Java分布式事务
两阶段提交:TwoPhaseCommit,Java两阶段提交
补偿事务:SAGA,Java补偿事务
本地消息表:LocalMessageTable,Java本地消息表
事件溯源:EventSourcing,Java事件溯源
CQRS:CQRS,JavaCQRS
分布式锁:DistributedLock,Java分布式锁
Redis锁:RedisLock,JavaRedis锁
Zookeeper锁:ZookeeperLock,JavaZookeeper锁
缓存:Cache,Java缓存
Redis:Redis,JavaRedis
Memcached:Memcached,JavaMemcached
本地缓存:LocalCache,Java本地缓存
Guava缓存:GuavaCache,JavaGuava缓存
Ehcache:Ehcache,JavaEhcache
分布式系统:DistributedSystem,Java分布式系统
微服务:Microservice,Java微服务
